"Rating","Style","Name","Num Reviews","Locations","Link","Brewery","Light","Dark","Roasted","Sweet","Bitter","Carbonation","Fruit","Spice","Sour","Smokey","Total Count"
"65","Euro Strong Lager","Baltika #9 Extra (Strong)","100","{'Brazil': 1, 'Iowa': 1, 'Serbia': 1, 'Oklahoma': 2, 'Delaware': 1, 'Minnesota': 8, 'Illinois': 1, 'Netherlands': 1, 'Maryland': 5, 'Louisiana': 3, 'Texas': 8, 'Arizona': 1, 'Wisconsin': 2, 'Michigan': 3, 'Virginia': 3, 'Oregon': 1, 'Connecticut': 2, 'New York': 3, 'California': 10, 'Idaho': 1, 'South Carolina': 2, 'New Hampshire': 2, 'Spain': 1, 'Massachusetts': 1, 'Georgia': 3, 'Pennsylvania': 6, 'Kentucky': 2, 'Rhode Island': 1, 'Missouri': 1, 'Ohio': 5, 'Colorado': 1, 'New Jersey': 7, 'Washington': 3, 'North Carolina': 1, 'Tennessee': 1, 'Montana': 1, 'District of Columbia': 1, 'Maine': 2}","http://beeradvocate.com/beer/profile/401/1967/?sort=topr","Baltika Breweries","383","75","15","307","61","208","69","6","18","4","1146"
"66","Euro Strong Lager","Elephant Beer","100","{'Iowa': 1, 'India': 1, 'Delaware': 1, 'Minnesota': 4, 'Illinois': 7, 'Georgia': 3, 'Indiana': 1, 'Maryland': 4, 'Louisiana': 1, 'Texas': 1, 'Australia': 4, 'Wisconsin': 2, 'United Kingdom (Scotland)': 1, 'Michigan': 4, 'Jordan': 1, 'Utah': 1, 'Virginia': 5, 'Connecticut': 3, 'Tennessee': 1, 'California': 5, 'Massachusetts': 4, 'Belgium': 2, 'Germany': 2, 'Netherlands': 1, 'Pennsylvania': 12, 'Quebec (Canada)': 1, 'Florida': 5, 'Rhode Island': 1, 'Sweden': 1, 'Missouri': 2, 'Ohio': 4, 'Alabama': 2, 'New Jersey': 1, 'Washington': 2, 'North Carolina': 1, 'New York': 4, 'Nevada': 1, 'Maine': 3}","http://beeradvocate.com/beer/profile/721/1996/?sort=topr","Carlsberg Danmark A/S","412","88","15","236","128","192","37","10","13","0","1131"
"70","Euro Strong Lager","Lion Imperial Premium Malt Pilsner","100","{'Alberta (Canada)': 1, 'Minnesota': 7, 'Illinois': 6, 'Arkansas': 1, 'Louisiana': 2, 'Texas': 1, 'Iowa': 1, 'Wisconsin': 2, 'Michigan': 10, 'Utah': 1, 'Virginia': 1, 'Connecticut': 1, 'California': 7, 'Massachusetts': 1, 'West Virginia': 1, 'South Carolina': 2, 'Georgia': 3, 'Pennsylvania': 3, 'Florida': 9, 'Kentucky': 1, 'Rhode Island': 2, 'Missouri': 3, 'Ohio': 8, 'Colorado': 8, 'New Jersey': 5, 'Washington': 1, 'North Carolina': 4, 'New York': 7}","http://beeradvocate.com/beer/profile/389/50399/?sort=topr","Ceylon / Lion Brewery Limited","401","118","17","346","109","184","119","22","34","1","1351"
"76","Euro Strong Lager","Warka Strong","100","{'Alberta (Canada)': 2, 'Illinois': 12, 'Indiana': 1, 'Ontario (Canada)': 21, 'Manitoba (Canada)': 2, 'Australia': 5, 'Wisconsin': 1, 'Michigan': 4, 'Connecticut': 4, 'New Hampshire': 1, 'Massachusetts': 8, 'Denmark': 1, 'California': 6, 'Pennsylvania': 5, 'Quebec (Canada)': 2, 'Florida': 3, 'Sweden': 1, 'Arizona': 1, 'Iowa': 1, 'United Kingdom (Northern Ireland)': 1, 'Colorado': 4, 'New Jersey': 5, 'North Carolina': 1, 'Austria': 1, 'New York': 5, 'United Kingdom (England)': 2}","http://beeradvocate.com/beer/profile/2656/24179/?sort=topr","Browary Warka Sp. z o.o.","336","153","15","431","105","205","75","17","14","5","1356"
"70","Euro Strong Lager","Okocim Mocne","87","{'Alberta (Canada)': 3, 'Minnesota': 2, 'Illinois': 1, 'Ireland': 1, 'Indiana': 1, 'United Kingdom (Northern Ireland)': 1, 'Ontario (Canada)': 19, 'Australia': 2, 'Wisconsin': 1, 'Michigan': 2, 'Oregon': 1, 'California': 12, 'Massachusetts': 1, 'Germany': 2, 'Georgia': 1, 'Pennsylvania': 3, 'Quebec (Canada)': 2, 'Florida': 4, 'Rhode Island': 1, 'Arizona': 1, 'Ohio': 4, 'Alabama': 1, 'France': 1, 'New Jersey': 5, 'Washington': 1, 'North Carolina': 1, 'Austria': 1, 'New York': 8, 'United Kingdom (England)': 3, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/568/1554/?sort=topr","Browar Okocim S.A. (Carlsberg)","349","105","24","259","104","190","58","15","13","0","1117"
"77","Euro Strong Lager","Hevelius Kaper","84","{'Vermont': 1, 'Arizona': 3, 'Wisconsin': 7, 'New Hampshire': 1, 'Pennsylvania': 10, 'North Carolina': 1, 'Florida': 10, 'Minnesota': 2, 'Oregon': 1, 'Illinois': 11, 'New Jersey': 4, 'Connecticut': 3, 'New York': 13, 'California': 7, 'Massachusetts': 5, 'Indiana': 1, 'Ohio': 2, 'Louisiana': 1, 'Iowa': 1}","http://beeradvocate.com/beer/profile/672/1853/?sort=topr","Elbrewery Co. Ltd. Sp. z o.o.","196","109","16","283","94","145","92","34","17","1","987"
"69","Euro Strong Lager","Lobster Lovers Beer","72","{'Iowa': 1, 'Minnesota': 1, 'Illinois': 3, 'Indiana': 1, 'Maryland': 2, 'Arizona': 4, 'Wisconsin': 2, 'Michigan': 6, 'Virginia': 2, 'Oregon': 2, 'New York': 1, 'New Hampshire': 2, 'Massachusetts': 7, 'South Carolina': 3, 'Georgia': 5, 'Pennsylvania': 7, 'Florida': 1, 'Kentucky': 1, 'Rhode Island': 2, 'Ohio': 7, 'Alabama': 1, 'Colorado': 1, 'New Jersey': 1, 'Washington': 3, 'North Carolina': 2, 'Tennessee': 2, 'Maine': 2}","http://beeradvocate.com/beer/profile/12224/40176/?sort=topr","Rinkuškiai Alaus Darykloje","253","77","8","257","66","131","80","13","27","1","913"
"84","Euro Strong Lager","Christoffel Nobel","83","{'Alberta (Canada)': 1, 'Illinois': 2, 'Georgia': 3, 'Maryland': 1, 'Norway': 1, 'Texas': 1, 'Ontario (Canada)': 37, 'Manitoba (Canada)': 1, 'Australia': 2, 'Wisconsin': 1, 'Virginia': 1, 'Oregon': 1, 'District of Columbia': 1, 'California': 2, 'Massachusetts': 4, 'Germany': 1, 'Spain': 1, 'Netherlands': 3, 'Pennsylvania': 3, 'Quebec (Canada)': 2, 'Florida': 1, 'Nova Scotia (Canada)': 1, 'Rhode Island': 1, 'Sweden': 1, 'South Dakota': 1, 'North Carolina': 1, 'New York': 2, 'United Kingdom (England)': 1, 'Nevada': 2, 'Maine': 1, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/553/46952/?sort=topr","Bierbrouwerij Sint Christoffel B.V","293","120","52","203","250","165","142","32","26","3","1286"
"60","Euro Strong Lager","Bavaria 8.6 Original","49","{'Alberta (Canada)': 6, 'Minnesota': 1, 'Illinois': 2, 'United Kingdom (Northern Ireland)': 1, 'Ontario (Canada)': 10, 'Australia': 3, 'Wisconsin': 1, 'Michigan': 2, 'New York': 1, 'California': 2, 'Belgium': 1, 'Spain': 2, 'Netherlands': 1, 'Pennsylvania': 4, 'Finland': 1, 'Nova Scotia (Canada)': 2, 'South Carolina': 1, 'France': 1, 'Portugal': 1, 'South Africa': 1, 'New Jersey': 1, 'Prince Edward Island (Canada)': 1, 'Colombia': 1, 'United Kingdom (England)': 1, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/498/1423/?sort=topr","Bavaria Brouwerij N.V.","165","49","1","122","33","94","25","4","5","1","499"
"57","Euro Strong Lager","Faxe Extra Strong","37","{'Netherlands': 1, 'South Africa': 1, 'Pennsylvania': 2, 'Quebec (Canada)': 4, 'Alberta (Canada)': 3, 'Nova Scotia (Canada)': 2, 'Illinois': 1, 'Sweden': 1, 'New Brunswick (Canada)': 1, 'South Carolina': 1, 'Ohio': 1, 'Michigan': 3, 'Ontario (Canada)': 16}","http://beeradvocate.com/beer/profile/783/2462/?sort=topr","Royal Unibrew A/S","97","45","2","65","38","54","16","1","5","4","327"
