"Rating","Style","Name","Num Reviews","Locations","Link","Brewery","fruity (scaled)","heavy (scaled)","sweet (scaled)","dark (scaled)","light (scaled)","heady (scaled)","bitter (scaled)","sour (binary)","spiced (binary)","smokey (binary)","roasted (binary)","refreshing (binary)","Total Count"
"96","Weizenbock","Schneider Weisse Tap 6 Unser Aventinus","100","{'Italy': 1, 'Alberta (Canada)': 1, 'Delaware': 1, 'Minnesota': 1, 'Illinois': 2, 'New Mexico': 1, 'Indiana': 2, 'Maryland': 4, 'Louisiana': 2, 'Thailand': 1, 'Texas': 4, 'Ontario (Canada)': 6, 'Australia': 1, 'Wisconsin': 4, 'Michigan': 3, 'Virginia': 3, 'Oregon': 2, 'Connecticut': 4, 'District of Columbia': 1, 'California': 4, 'Massachusetts': 2, 'South Carolina': 3, 'Germany': 1, 'Spain': 1, 'Netherlands': 1, 'Pennsylvania': 3, 'Florida': 3, 'Hawaii': 1, 'Kentucky': 4, 'Rhode Island': 1, 'Missouri': 3, 'Ohio': 2, 'Colorado': 1, 'Idaho': 2, 'New Jersey': 3, 'Washington': 2, 'New York': 7, 'Montana': 1, 'Japan': 2, 'Nevada': 1, 'British Columbia (Canada)': 3}","http://beeradvocate.com/beer/profile/72/224/?sort=topr","Weisses Bräuhaus G. Schneider &amp; Sohn GmbH","281","92","349","239","138","223","56","30","134","15","66","73","1696"
"95","Weizenbock","Weihenstephaner Vitus","100","{'Mississippi': 1, 'Italy': 1, 'Oklahoma': 2, 'Minnesota': 1, 'Illinois': 7, 'Netherlands': 1, 'Indiana': 1, 'Maryland': 2, 'Bolivia': 1, 'Texas': 2, 'Ontario (Canada)': 4, 'Australia': 2, 'Wisconsin': 3, 'Michigan': 4, 'Kansas': 1, 'Virginia': 2, 'Oregon': 1, 'Connecticut': 3, 'Montana': 2, 'California': 6, 'Massachusetts': 4, 'West Virginia': 1, 'South Carolina': 2, 'Georgia': 4, 'Pennsylvania': 7, 'Florida': 1, 'Arizona': 3, 'Missouri': 3, 'Ohio': 5, 'New York': 5, 'Colorado': 2, 'New Jersey': 4, 'Washington': 1, 'North Carolina': 2, 'District of Columbia': 1, 'Japan': 1, 'United Kingdom (England)': 2, 'Maine': 2}","http://beeradvocate.com/beer/profile/252/35625/?sort=topr","Bayerische Staatsbrauerei Weihenstephan","336","88","248","32","303","279","74","38","171","5","21","89","1684"
"91","Weizenbock","Schneider Weisse Tap 5 Schneider &amp; Brooklyner Hopfen-Weisse","100","{'Italy': 1, 'India': 1, 'Alberta (Canada)': 3, 'Minnesota': 1, 'Illinois': 4, 'Indiana': 2, 'Maryland': 3, 'Thailand': 1, 'Texas': 2, 'Ontario (Canada)': 8, 'Australia': 2, 'Iowa': 1, 'Michigan': 1, 'Kansas': 1, 'Virginia': 3, 'Connecticut': 1, 'New York': 2, 'Germany': 4, 'Massachusetts': 4, 'South Carolina': 1, 'California': 6, 'Oklahoma': 2, 'Spain': 1, 'Pennsylvania': 13, 'Quebec (Canada)': 5, 'Florida': 2, 'Kentucky': 1, 'Rhode Island': 1, 'Russian Federation': 1, 'Missouri': 2, 'Ohio': 2, 'Colorado': 1, 'New Jersey': 5, 'Washington': 2, 'North Carolina': 2, 'United Kingdom (Wales)': 1, 'Tennessee': 2, 'Montana': 1, 'United Kingdom (England)': 1, 'British Columbia (Canada)': 2}","http://beeradvocate.com/beer/profile/72/37774/?sort=topr","Weisses Bräuhaus G. Schneider &amp; Sohn GmbH","387","84","230","61","231","232","396","39","127","0","27","51","1865"
"91","Weizenbock","Moonglow Weizenbock","100","{'Delaware': 2, 'Minnesota': 6, 'Illinois': 4, 'Indiana': 3, 'Maryland': 4, 'Texas': 1, 'Australia': 1, 'Wisconsin': 4, 'Michigan': 5, 'Virginia': 4, 'Connecticut': 2, 'New York': 6, 'California': 2, 'Massachusetts': 6, 'Georgia': 2, 'Pennsylvania': 23, 'Florida': 1, 'Kentucky': 2, 'Rhode Island': 1, 'Ohio': 7, 'Colorado': 2, 'New Jersey': 7, 'Washington': 1, 'North Carolina': 1, 'Tennessee': 2, 'Maine': 1}","http://beeradvocate.com/beer/profile/345/1008/?sort=topr","Victory Brewing Company","259","78","267","134","99","187","63","10","144","3","24","47","1315"
"87","Weizenbock","Bavarian-Styled Doppel Weizen","100","{'Mississippi': 1, 'Iowa': 1, 'Alberta (Canada)': 3, 'Minnesota': 4, 'Illinois': 3, 'Maryland': 2, 'Texas': 5, 'Ontario (Canada)': 2, 'Australia': 2, 'Wisconsin': 4, 'Michigan': 4, 'Utah': 1, 'Virginia': 3, 'Oregon': 1, 'Connecticut': 3, 'California': 13, 'Massachusetts': 2, 'West Virginia': 1, 'New Hampshire': 1, 'Oklahoma': 1, 'Georgia': 1, 'Pennsylvania': 12, 'Florida': 3, 'Kentucky': 1, 'Arizona': 3, 'Nova Scotia (Canada)': 1, 'Missouri': 3, 'Ohio': 4, 'New Jersey': 2, 'Washington': 3, 'North Carolina': 2, 'New York': 7, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/220/73131/?sort=topr","Lagunitas Brewing Company","332","126","292","37","197","229","112","44","161","2","26","39","1597"
"94","Weizenbock","Ayinger Weizenbock","100","{'Alberta (Canada)': 4, 'Delaware': 1, 'Minnesota': 1, 'Illinois': 5, 'Arkansas': 1, 'Indiana': 1, 'Maryland': 3, 'Louisiana': 1, 'Texas': 4, 'Ontario (Canada)': 2, 'Arizona': 1, 'Wisconsin': 3, 'Michigan': 4, 'Kansas': 1, 'Virginia': 2, 'Oregon': 3, 'Connecticut': 1, 'District of Columbia': 1, 'California': 9, 'Massachusetts': 3, 'West Virginia': 1, 'New Hampshire': 1, 'United Kingdom (Wales)': 1, 'Vermont': 1, 'Georgia': 4, 'Pennsylvania': 7, 'Florida': 2, 'Kentucky': 1, 'Rhode Island': 2, 'Sweden': 1, 'Nebraska': 2, 'Missouri': 1, 'Switzerland': 1, 'Ohio': 5, 'Colorado': 2, 'Mexico': 1, 'New Jersey': 4, 'Washington': 3, 'North Carolina': 3, 'New York': 4, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/39/37192/?sort=topr","Privatbrauerei Franz Inselkammer KG / Brauerei Aying","315","83","301","44","239","228","63","25","127","2","14","103","1544"
"93","Weizenbock","Brooklyner-Schneider Hopfen-Weisse","100","{'Alberta (Canada)': 3, 'New Hampshire': 2, 'Minnesota': 2, 'Illinois': 3, 'Indiana': 3, 'Maryland': 2, 'Texas': 12, 'Ontario (Canada)': 4, 'Manitoba (Canada)': 1, 'Arizona': 1, 'Wisconsin': 2, 'Michigan': 4, 'Virginia': 6, 'Connecticut': 3, 'New York': 11, 'California': 6, 'Massachusetts': 2, 'South Carolina': 2, 'Germany': 2, 'Pennsylvania': 7, 'Quebec (Canada)': 2, 'Florida': 3, 'Kentucky': 2, 'Sweden': 4, 'Missouri': 1, 'Ohio': 3, 'Alabama': 1, 'New Jersey': 4, 'North Carolina': 1, 'Tennessee': 1}","http://beeradvocate.com/beer/profile/45/38700/?sort=topr","Brooklyn Brewery","308","62","142","22","264","259","354","27","100","2","33","69","1642"
"91","Weizenbock","Unplugged Imperial Weizen","100","{'Alberta (Canada)': 1, 'Minnesota': 4, 'Illinois': 18, 'Ireland': 1, 'Ohio': 4, 'Indiana': 5, 'Maryland': 2, 'Texas': 3, 'Ontario (Canada)': 3, 'Arizona': 1, 'Iowa': 5, 'Virginia': 4, 'Oregon': 1, 'Connecticut': 1, 'New York': 2, 'California': 13, 'Massachusetts': 1, 'Georgia': 2, 'Pennsylvania': 4, 'Missouri': 1, 'Wisconsin': 16, 'Alabama': 1, 'Colorado': 2, 'New Jersey': 2, 'Washington': 1, 'North Carolina': 1, 'District of Columbia': 1}","http://beeradvocate.com/beer/profile/590/40956/?sort=topr","New Glarus Brewing Company","294","89","164","19","205","221","214","18","177","0","20","60","1481"
"87","Weizenbock","Slam Dunkel","100","{'Minnesota': 4, 'Illinois': 3, 'Maryland': 5, 'Texas': 1, 'Australia': 2, 'Wisconsin': 1, 'Virginia': 6, 'Oregon': 1, 'Connecticut': 2, 'Montana': 1, 'California': 4, 'Massachusetts': 2, 'South Carolina': 3, 'New Hampshire': 2, 'Georgia': 1, 'Pennsylvania': 24, 'Quebec (Canada)': 1, 'Florida': 3, 'District of Columbia': 2, 'Ohio': 8, 'Alabama': 1, 'Colorado': 1, 'New Jersey': 9, 'Washington': 2, 'North Carolina': 1, 'New York': 7, 'Maine': 3}","http://beeradvocate.com/beer/profile/392/37691/?sort=topr","Weyerbacher Brewing Co.","248","84","343","213","106","204","47","33","143","13","46","41","1521"
"87","Weizenbock","Erdinger Weissbier Pikantus","100","{'Italy': 1, 'Washington': 1, 'Oklahoma': 2, 'New Hampshire': 1, 'Minnesota': 1, 'Illinois': 8, 'Georgia': 2, 'Indiana': 1, 'Maryland': 1, 'Bolivia': 1, 'Louisiana': 1, 'Texas': 4, 'Ontario (Canada)': 6, 'Australia': 7, 'Iowa': 1, 'United Kingdom (Scotland)': 1, 'Michigan': 3, 'Utah': 1, 'Virginia': 3, 'Oregon': 1, 'Connecticut': 1, 'California': 13, 'Massachusetts': 2, 'Thailand': 1, 'Germany': 2, 'Spain': 1, 'Portugal': 1, 'Vermont': 1, 'Netherlands': 1, 'Pennsylvania': 2, 'Quebec (Canada)': 1, 'Poland': 1, 'Finland': 1, 'Florida': 1, 'Kentucky': 1, 'Rhode Island': 1, 'Arizona': 1, 'Missouri': 1, 'Wisconsin': 2, 'Colorado': 3, 'Idaho': 1, 'Mexico': 3, 'New Jersey': 2, 'India': 1, 'North Carolina': 4, 'District of Columbia': 1, 'United Kingdom (England)': 2, 'Maine': 1}","http://beeradvocate.com/beer/profile/703/2646/?sort=topr","Erdinger Weissbräu","162","90","382","285","89","253","63","14","76","6","68","44","1532"
