Brewery,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Maui Brewing Co.,41,2,2,2,0,3,9,2,8,0,1,8,6,3,27,87,5,4,2,12,1,5,0,5,0,6,0,11,45,2,1,34,27,0,1,0,1,20,7,5,14,4,3,15,15,1,3,5,5,1,1
21st Amendment Brewery,46,2,6,17,0,11,72,2,48,0,0,70,6,1,11,105,37,14,3,60,0,3,4,23,0,2,0,1,3,2,8,129,39,1,4,0,0,20,5,10,2,11,3,34,48,0,3,54,11,13,0
Bluegrass Brewing Co.,7,11,3,16,0,4,13,0,23,0,4,27,7,0,15,35,18,21,5,108,1,14,118,7,0,4,0,0,20,1,41,62,69,0,5,2,0,43,57,9,9,2,3,7,15,2,13,11,18,0,1
Brau Brothers Brewing Co. LLC,6,8,0,3,0,1,5,0,4,0,6,5,0,1,5,14,2,7,0,7,1,5,1,2,5,4,0,0,8,1,2,11,2,1,0,0,0,20,2,37,0,2,0,4,5,1,7,210,23,1,0
Jackie O's Pub &amp; Brewery,7,1,2,10,0,2,8,2,8,0,0,28,3,2,15,72,2,6,1,174,0,23,0,4,0,1,0,0,8,0,3,48,44,0,0,0,0,54,11,0,2,5,1,15,15,0,1,7,5,1,2
O'Fallon Brewery,1,32,0,6,3,3,5,1,14,1,7,14,2,2,34,18,7,8,16,103,24,2,33,1,0,0,0,0,28,7,8,54,11,1,9,3,0,163,16,35,3,2,1,2,23,0,158,26,56,1,3
Cisco Brewers Inc.,15,7,0,40,0,66,62,1,32,0,0,108,34,0,23,49,26,89,2,19,1,21,1,10,0,8,0,0,21,5,1,119,35,0,1,3,13,66,7,1,9,1,39,17,263,4,10,13,9,1,0
New Albanian Brewing Company Pizzeria and Public House,0,1,0,5,0,1,2,0,2,0,0,1,0,0,2,6,4,1,1,9,0,0,30,2,0,0,0,0,0,1,2,6,1,0,0,0,0,12,41,0,0,0,0,1,7,0,3,3,2,0,0
Columbus Brewing Company,5,4,0,3,0,2,3,1,6,0,2,12,3,1,2,17,3,1,0,142,0,11,1,5,0,3,0,0,4,0,6,22,9,0,0,1,1,14,4,3,0,2,0,5,14,0,3,10,9,0,1
Pipeworks Brewing Company,8,14,0,2,0,0,1,1,7,0,0,12,2,1,3,22,3,2,0,15,0,1,1,4,0,14,0,0,1,5,0,13,7,0,0,0,0,425,12,1,0,0,0,2,15,0,0,4,11,0,0
Arcadia Brewing Company,12,20,7,15,2,6,54,1,17,0,7,99,10,4,18,37,16,12,14,189,20,6,40,10,0,7,0,1,30,3,10,175,29,4,1,0,1,212,33,24,2,2,6,23,70,2,79,28,314,8,0
Mother Earth Brewing,13,4,1,15,0,2,22,0,150,0,0,34,6,1,2,25,32,3,2,10,6,28,9,0,0,3,0,0,9,0,13,51,32,0,3,0,2,17,1,0,3,0,0,10,20,0,1,9,1,0,0
City Steam Brewery Café,0,0,0,0,0,0,1,0,1,0,0,5,1,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0
Highland Brewing,8,11,4,82,0,5,34,1,230,0,1,41,3,0,10,27,97,13,2,68,0,84,20,9,0,3,0,1,23,8,53,72,67,1,20,0,1,26,9,4,5,0,12,23,28,3,16,17,14,1,8
Alaskan Brewing Co.,117,59,2,10,8,7,23,3,10,0,3,21,4,19,106,226,6,11,5,29,2,13,2,62,0,3,0,1,90,9,6,40,9,12,10,0,4,45,11,9,38,14,3,5,34,6,19,174,8,10,2
New Planet Beer Company,1,0,0,2,0,0,2,1,2,0,1,2,0,0,5,8,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,2,0,1,2,0,0,0,2,0,2,1,0,0,0
Notch Brewing,1,0,0,0,0,3,0,0,0,0,0,2,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,1,2,0,0,0,2,0,72,0,0,0,0,0,0
Central City Brewing,13,2,0,0,0,4,3,0,1,0,1,3,3,1,2,7,0,2,0,2,0,1,0,2,0,0,0,0,2,0,0,38,6,0,1,0,2,8,0,0,0,0,4,3,31,1,0,6,2,1,0
Bayou Teche Brewery,1,1,1,4,0,1,3,0,3,0,0,2,3,0,1,2,4,2,1,2,0,4,0,3,0,0,0,0,9,30,2,8,4,0,7,2,2,8,0,0,2,1,0,0,5,2,1,1,1,0,5
Mankato Brewery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,8,0,0,0
Black Raven Brewing Co.,28,0,0,0,0,1,0,0,1,0,0,1,0,2,1,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Big Time Brewery &amp; Alehouse,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Stevens Point Brewery,0,180,8,15,0,12,35,1,21,1,15,58,4,4,13,13,18,8,25,62,13,19,20,0,1,0,0,0,18,11,7,83,21,4,9,3,0,150,31,47,1,6,1,8,17,2,52,105,53,0,12
La Cumbre Brewing Co.,0,0,0,0,0,1,0,7,0,0,0,0,0,1,2,10,1,0,1,2,0,0,0,2,0,1,0,0,2,0,0,7,0,0,0,0,0,6,2,1,0,0,1,0,6,0,1,3,0,0,0
Hardywood Park Craft Brewery,2,0,0,6,0,0,3,0,6,0,0,8,0,0,0,4,3,5,0,2,0,4,1,0,0,0,0,2,0,0,2,11,57,0,0,0,0,9,3,0,0,0,0,13,14,0,3,5,1,0,0
Grand Lake Brewing Company,0,0,0,0,2,1,1,0,0,0,1,3,1,0,29,1,1,1,2,1,2,1,3,0,0,0,0,0,1,0,1,0,3,0,1,0,0,1,0,2,1,1,1,0,1,1,1,1,2,0,0
Charleville Vineyard Microbrewery,1,1,1,1,0,0,2,0,1,0,0,8,1,0,0,8,5,2,3,5,1,2,1,0,0,0,0,0,3,1,3,6,1,0,0,5,0,24,3,0,2,1,0,3,5,0,21,6,0,0,0
Flossmoor Station Restaurant &amp; Brewery,3,2,0,6,1,1,5,0,3,0,1,10,2,0,2,15,5,3,4,21,0,4,5,0,0,1,0,0,2,1,0,12,6,0,2,0,0,73,5,11,1,1,0,4,4,1,8,9,1,0,0
Sun King Brewing Company,0,3,0,3,0,3,1,0,5,0,2,7,0,1,2,20,1,2,2,32,1,3,5,0,0,2,0,0,1,1,0,20,7,0,4,0,1,40,120,2,3,1,0,3,13,0,3,9,1,1,0
Harpoon Brewery,11,3,21,38,0,55,86,3,45,0,0,181,39,1,13,31,33,71,7,55,2,28,16,1,0,1,0,0,64,10,25,182,53,2,21,1,21,37,37,2,2,0,49,60,259,1,6,10,44,4,1
Wachusett Brewing Company,6,0,0,10,2,53,42,0,15,0,0,100,45,0,6,28,6,59,1,4,0,15,2,3,0,4,0,1,8,0,2,61,9,0,2,0,11,6,4,6,7,3,20,12,405,4,13,11,0,1,0
Speakeasy Ales &amp; Lagers,14,2,1,3,0,8,27,2,9,0,0,103,7,16,8,221,4,12,1,16,2,4,2,24,0,1,0,0,15,2,1,46,33,0,4,1,2,5,8,3,7,1,0,14,19,2,4,4,12,3,2
Abita Brewing Co.,14,41,4,77,0,11,45,6,51,0,4,112,9,2,31,95,58,24,22,65,9,28,29,21,1,6,0,0,108,89,32,150,55,1,27,7,6,83,40,11,20,3,4,47,59,0,51,46,35,17,27
Deschutes Brewery,158,33,8,38,8,12,40,11,23,2,4,70,15,39,127,403,21,21,13,38,21,10,13,150,2,10,0,7,137,4,8,103,39,4,8,2,1,163,27,19,74,20,14,33,78,7,60,146,20,23,5
Marshall Wharf Brewing Company / Three Tides Restaurant,0,1,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,9,2,2,0,0,0,1,0,0
Atlantic Brewing Company,2,11,3,14,0,28,46,0,13,0,1,46,9,0,10,12,28,21,3,23,0,4,3,6,0,1,0,0,27,5,10,76,18,0,4,1,5,15,5,4,3,1,56,34,118,2,2,22,9,0,2
Caldera Brewing Company,42,2,0,12,1,7,22,1,33,0,2,10,2,6,5,109,5,5,13,10,3,4,13,49,0,3,0,0,6,2,18,58,23,0,1,0,0,26,5,7,3,7,2,6,12,1,3,11,8,1,1
Great Lakes Brewing Company,18,69,35,21,0,9,71,7,90,0,5,156,11,1,27,53,25,22,6,339,1,11,78,11,0,4,0,1,28,13,31,265,93,2,5,0,1,214,40,14,4,5,8,47,47,1,11,93,148,13,1
Fullsteam Brewery,1,0,0,0,0,1,0,0,29,0,0,2,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
Joseph James Brewing Inc.,10,1,0,2,0,1,1,1,1,0,0,4,1,6,1,16,2,0,0,1,1,1,2,4,0,1,0,0,6,0,1,4,1,0,1,2,0,17,1,1,2,2,1,1,2,0,0,3,0,1,0
Nimbus Brewing Company,2,8,0,7,2,1,9,2,5,0,4,11,1,5,7,60,13,11,1,6,0,1,0,14,0,1,0,0,11,0,1,20,5,1,0,2,0,7,2,1,60,0,0,3,6,3,0,4,5,1,0
Green Man Brewery,1,0,0,4,0,1,2,0,34,0,0,3,0,0,0,1,6,1,0,1,0,10,5,1,0,0,0,0,0,0,2,3,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
