light,dark,roasted,sweet,bitter,carbonation,fruit,spice,sour,smokey
clean,black,chocolate,biscuit,bitterness,airy,apple,anis,acid,bacon
clear,bread,chocolatey,bourbon,citrus,bubble,apples,anise,acidity,barbeque
corn,brown,coffee,bread,citrusy,bubbles,apricot,cinnamon,astringent,barbequed
crisp,chestnut,dry,bready,grapefruit,bubbly,apricots,clove,brett,bbq
drinkable,cream,dryness,butterscotch,hop,carbonated,banana,cloves,brettanomyces,campfire
easy,creamy,espresso,candy,hoppier,fizz,blueberry,coriander,funk,charcoal
fresh,deep,mocha,caramel,hoppiness,fizzy,cherry,nutmeg,funky,fire
gold,dense,,honey,hoppy,fluffy,cider,pepper,lacto,hickory
golden,earth,,malt,hops,foam,floral,peppery,lactobacillus,meat
grain,earthy,,malts,,foamy,flower,pumpkin,must,meaty
grainy,heavy,,malty,,head,flowery,spicey,musty,mesquite
mild,mocha,,maple,,puffy,fruitiness,spicy,pucker,oak
pale,murky,,milk,,retention,fruity,,puckering,oaky
paler,opaque,,milky,,,ginger,,sourness,sausage
palest,rich,,molasses,,,grape,,sweettart,smoke
refreshing,stout,,sugar,,,grapes,,tannic,smoked
straw,strong,,sugary,,,lemon,,tannis,smokier
water,syrup,,sweeter,,,lemony,,tart,smokiness
watery,syrupy,,sweetest,,,orange,,tartness,smoky
white,viscous,,sweetly,,,pear,,vinegar,tobacco
yellow,,,sweetness,,,pears,,,wood
,,,toffee,,,tropical,,,
,,,vanilla,,,,,,
