"Name","Brewery","Rating","Link","Style","Locations","Num Reviews","Light","Dark","Fruit","Sweet","Carbonation","Bitter","Spice"
"Wild Dog Barrel-Aged Gonzo Imperial Porter","Flying Dog Brewery","93","http://beeradvocate.com/beer/profile/68/36342/?sort=topr","Baltic Porter","{'Minnesota': 5, 'Illinois': 16, 'Maryland': 7, 'Texas': 2, 'Ontario (Canada)': 2, 'Australia': 4, 'Iowa': 1, 'Michigan': 1, 'Virginia': 6, 'Slovenia': 1, 'District of Columbia': 2, 'California': 17, 'Massachusetts': 1, 'Pennsylvania': 10, 'Florida': 4, 'Kentucky': 2, 'Arizona': 3, 'Ohio': 2, 'Alabama': 1, 'New York': 3, 'Colorado': 2, 'New Jersey': 2, 'Washington': 3, 'North Carolina': 1, 'Tennessee': 1, 'Nevada': 1}","100","144","574","80","698","207","72","12"
"Alaskan Baltic Porter (Pilot Series)","Alaskan Brewing Co.","92","http://beeradvocate.com/beer/profile/429/36532/?sort=topr","Baltic Porter","{'Delaware': 1, 'Minnesota': 6, 'Illinois': 6, 'Georgia': 1, 'New Mexico': 1, 'Texas': 2, 'Idaho': 2, 'Ontario (Canada)': 1, 'Arizona': 5, 'Wisconsin': 5, 'Utah': 1, 'Virginia': 2, 'Oregon': 6, 'Connecticut': 2, 'District of Columbia': 1, 'California': 14, 'Massachusetts': 5, 'Germany': 1, 'Netherlands': 1, 'Pennsylvania': 2, 'Florida': 1, 'Alaska': 2, 'Hawaii': 1, 'Australia': 2, 'Ohio': 2, 'Alabama': 1, 'Rhode Island': 2, 'Colorado': 4, 'New Jersey': 2, 'Washington': 9, 'New York': 4, 'Nevada': 2, 'Maine': 2, 'British Columbia (Canada)': 1}","100","175","720","204","783","205","61","22"
"Dark Horse Thirsty Trout Porter","Dark Horse Brewing Company","86","http://beeradvocate.com/beer/profile/1471/8532/?sort=topr","Baltic Porter","{'Korea (North)': 1, 'Georgia': 1, 'Wisconsin': 4, 'Colorado': 1, 'Pennsylvania': 4, 'Kentucky': 2, 'Michigan': 10, 'Minnesota': 1, 'North Carolina': 2, 'Illinois': 1, 'New Jersey': 1, 'New York': 2, 'Arkansas': 1, 'Massachusetts': 3, 'Ohio': 3, 'Ontario (Canada)': 2}","39","104","252","45","285","80","72","1"
"Duck-Rabbit Baltic Porter","The Duck-Rabbit Craft Brewery","91","http://beeradvocate.com/beer/profile/9790/32180/?sort=topr","Baltic Porter","{'Delaware': 2, 'Minnesota': 1, 'Illinois': 6, 'Indiana': 3, 'Maryland': 2, 'Louisiana': 1, 'Idaho': 1, 'Arizona': 3, 'Wisconsin': 1, 'Virginia': 3, 'Oregon': 2, 'Connecticut': 1, 'District of Columbia': 1, 'California': 3, 'Massachusetts': 7, 'South Carolina': 7, 'Vermont': 1, 'Georgia': 5, 'Pennsylvania': 10, 'Finland': 1, 'Florida': 3, 'Kentucky': 1, 'Missouri': 1, 'Ohio': 4, 'New York': 6, 'New Jersey': 3, 'Washington': 7, 'North Carolina': 6, 'Tennessee': 3, 'Montana': 1, 'Texas': 1, 'Maine': 2}","100","187","652","195","679","238","88","14"
"Nefarious Ten Pin Imperial Porter","Ska Brewing Co.","86","http://beeradvocate.com/beer/profile/923/16329/?sort=topr","Baltic Porter","{'Iowa': 1, 'Oklahoma': 1, 'Missouri': 1, 'Minnesota': 2, 'Illinois': 13, 'Georgia': 3, 'New Mexico': 1, 'Indiana': 1, 'Maryland': 1, 'Texas': 14, 'Ontario (Canada)': 1, 'Arizona': 3, 'Wisconsin': 1, 'Michigan': 3, 'Kansas': 1, 'Virginia': 2, 'Montana': 1, 'California': 4, 'South Carolina': 1, 'Vermont': 1, 'Netherlands': 1, 'Pennsylvania': 6, 'Kentucky': 1, 'Sweden': 3, 'District of Columbia': 1, 'Ohio': 3, 'Alabama': 1, 'New York': 6, 'Colorado': 13, 'New Jersey': 2, 'North Carolina': 5, 'Tennessee': 1, 'Nevada': 1}","100","211","503","126","629","242","180","13"
"Kalevipoeg Baltic Porter","Cigar City Brewing","89","http://beeradvocate.com/beer/profile/17981/78291/?sort=topr","Baltic Porter","{'Australia': 1, 'Pennsylvania': 3, 'Washington': 2, 'Florida': 6, 'Minnesota': 1, 'North Carolina': 1, 'Illinois': 2, 'Connecticut': 1, 'Tennessee': 1, 'New Hampshire': 1, 'Massachusetts': 1, 'South Carolina': 1, 'California': 4, 'New York': 1, 'Texas': 1, 'Ontario (Canada)': 2}","30","72","164","67","209","64","28","7"
"Cornholio","Short's Brewing Company","81","http://beeradvocate.com/beer/profile/9629/70901/?sort=topr","Baltic Porter","{'Colorado': 1, 'New Jersey': 1, 'Washington': 1, 'Michigan': 10, 'Delaware': 1, 'Florida': 2, 'Virginia': 2, 'Kentucky': 1, 'Illinois': 6, 'Pennsylvania': 1, 'Connecticut': 2, 'Tennessee': 1, 'California': 5, 'Massachusetts': 1, 'District of Columbia': 1, 'South Carolina': 1, 'Ohio': 2, 'Maryland': 1}","40","138","187","57","168","95","49","27"
"Harpoon Leviathan","Baltic Porter","89","http://beeradvocate.com/beer/profile/10097/45934/?sort=topr","Baltic Porter","{'Minnesota': 1, 'Illinois': 5, 'Indiana': 1, 'Maryland': 1, 'Louisiana': 1, 'Texas': 6, 'Ontario (Canada)': 2, 'Wisconsin': 1, 'Michigan': 4, 'Virginia': 4, 'Connecticut': 5, 'California': 3, 'Massachusetts': 10, 'South Carolina': 1, 'New Hampshire': 2, 'Vermont': 2, 'Georgia': 3, 'Pennsylvania': 9, 'Poland': 1, 'Florida': 2, 'Kentucky': 2, 'Rhode Island': 1, 'Ohio': 6, 'Colorado': 3, 'New Jersey': 1, 'Saskatchewan (Canada)': 1, 'Washington': 1, 'North Carolina': 3, 'New York': 14, 'Maine': 3}","100","222","554","149","598","216","136","38"
"Smoked Baltic Porter","Great Divide Brewing Company","84","http://beeradvocate.com/beer/profile/158/60846/?sort=topr","Baltic Porter","{'Oklahoma': 3, 'Minnesota': 1, 'Illinois': 4, 'Indiana': 3, 'Maryland': 3, 'Texas': 13, 'Manitoba (Canada)': 1, 'Arizona': 1, 'Michigan': 1, 'Utah': 1, 'Virginia': 5, 'Oregon': 1, 'Connecticut': 2, 'Montana': 1, 'New Hampshire': 3, 'Massachusetts': 1, 'West Virginia': 1, 'South Carolina': 1, 'California': 7, 'Spain': 1, 'Georgia': 2, 'Pennsylvania': 3, 'Florida': 5, 'Kentucky': 1, 'Rhode Island': 1, 'Sweden': 2, 'Nebraska': 1, 'Missouri': 2, 'Ohio': 3, 'Alabama': 1, 'New York': 5, 'Colorado': 6, 'New Jersey': 1, 'Australia': 1, 'Washington': 5, 'North Carolina': 4, 'Tennessee': 1, 'United Kingdom (England)': 1, 'British Columbia (Canada)': 1}","100","267","477","60","539","212","127","13"
"Dominion Baltic Porter","Old Dominion Brewing Company","85","http://beeradvocate.com/beer/profile/402/45914/?sort=topr","Baltic Porter","{'Illinois': 2, 'Maryland': 12, 'Louisiana': 1, 'Texas': 1, 'Wisconsin': 4, 'Michigan': 2, 'Virginia': 22, 'Connecticut': 1, 'New York': 1, 'New Hampshire': 1, 'Massachusetts': 1, 'West Virginia': 1, 'South Carolina': 1, 'California': 2, 'Georgia': 5, 'Pennsylvania': 18, 'Florida': 1, 'Ohio': 3, 'Colorado': 2, 'New Jersey': 4, 'Washington': 1, 'North Carolina': 1, 'District of Columbia': 5}","92","206","452","76","533","209","164","30"
