"Name","Brewery","Rating","Link","Style","Locations","Num Reviews","Light","Dark","Fruit","Sweet","Carbonation","Bitter","Spice"
"Autumn Wheat Ale","Mayflower Brewing Company","79","http://beeradvocate.com/beer/profile/16105/61138/?sort=topr","American Dark Wheat Ale","{'Tennessee': 1, 'Arizona': 1, 'Colorado': 1, 'Utah': 1, 'Rhode Island': 4, 'New York': 2, 'California': 1, 'Massachusetts': 18, 'Missouri': 1, 'New Hampshire': 1, 'Ohio': 1}","32","95","208","69","191","82","65","22"
"Peak Organic Winter Session Ale","Peak Organic Brewing Company","84","http://beeradvocate.com/beer/profile/13884/63180/?sort=topr","American Dark Wheat Ale","{'Delaware': 1, 'Minnesota': 1, 'Virginia': 1, 'Connecticut': 4, 'District of Columbia': 1, 'California': 3, 'Massachusetts': 9, 'South Carolina': 1, 'New Hampshire': 2, 'Georgia': 4, 'Pennsylvania': 11, 'Quebec (Canada)': 1, 'Poland': 1, 'Finland': 1, 'Florida': 4, 'Rhode Island': 1, 'New Jersey': 1, 'North Carolina': 2, 'New York': 13, 'Nevada': 1, 'Maine': 8, 'British Columbia (Canada)': 1}","72","255","186","188","263","144","292","42"
"River Ale","Berkshire Brewing Company Inc.","88","http://beeradvocate.com/beer/profile/33/2370/?sort=topr","American Dark Wheat Ale","{'Oklahoma': 1, 'Minnesota': 2, 'Illinois': 2, 'Indiana': 2, 'Maryland': 2, 'Texas': 1, 'Australia': 1, 'Utah': 1, 'Virginia': 2, 'Connecticut': 12, 'Montana': 1, 'New Hampshire': 2, 'Massachusetts': 26, 'South Carolina': 1, 'California': 2, 'Germany': 1, 'Vermont': 4, 'Georgia': 1, 'Pennsylvania': 7, 'Quebec (Canada)': 1, 'Florida': 1, 'Hawaii': 1, 'Tennessee': 1, 'District of Columbia': 1, 'Ohio': 1, 'Rhode Island': 8, 'New Jersey': 4, 'North Carolina': 4, 'New York': 5, 'Maine': 2}","100","297","421","199","695","228","188","40"
"Theobroma","Dogfish Head Brewery","86","http://beeradvocate.com/beer/profile/10099/41702/?sort=topr","Chile Beer","{'Minnesota': 1, 'Illinois': 4, 'Indiana': 1, 'Maryland': 4, 'Louisiana': 1, 'Idaho': 1, 'Ontario (Canada)': 2, 'Arizona': 2, 'Wisconsin': 1, 'Michigan': 6, 'Virginia': 2, 'Connecticut': 2, 'Montana': 2, 'California': 8, 'Massachusetts': 3, 'West Virginia': 1, 'South Carolina': 2, 'Pennsylvania': 11, 'Puerto Rico': 1, 'Florida': 3, 'Hawaii': 1, 'Missouri': 1, 'Ohio': 7, 'Alabama': 2, 'Colorado': 1, 'New Jersey': 5, 'Washington': 2, 'North Carolina': 1, 'New York': 10, 'Texas': 4, 'Nevada': 1, 'Maine': 3, 'British Columbia (Canada)': 1}","100","355","163","158","476","230","66","149"
"Original C Cave Creek Chili Beer","Cerveza Con Chili","52","http://beeradvocate.com/beer/profile/677/38763/?sort=topr","Chile Beer","{'Iowa': 1, 'Alberta (Canada)': 2, 'Delaware': 1, 'Minnesota': 1, 'Illinois': 8, 'New Mexico': 1, 'New Hampshire': 1, 'Indiana': 2, 'Maryland': 1, 'Louisiana': 1, 'Texas': 3, 'Australia': 1, 'Wisconsin': 3, 'Singapore': 1, 'Michigan': 6, 'Jordan': 1, 'Virginia': 3, 'Connecticut': 1, 'California': 11, 'Massachusetts': 4, 'South Carolina': 2, 'Germany': 1, 'Pennsylvania': 18, 'Florida': 3, 'Rhode Island': 1, 'Arizona': 2, 'Missouri': 1, 'Ohio': 5, 'Alabama': 1, 'Colorado': 1, 'Mexico': 1, 'New Jersey': 2, 'Washington': 1, 'North Carolina': 1, 'Tennessee': 3, 'United Kingdom (England)': 2}","100","474","36","52","84","228","38","298"
"Hot Chocolate","Valkyrie Brewing","73","http://beeradvocate.com/beer/profile/683/21071/?sort=topr","Chile Beer","{'Wisconsin': 9, 'Colorado': 2, 'New Jersey': 2, 'New Hampshire': 1, 'Minnesota': 12, 'North Carolina': 1, 'Illinois': 5, 'Pennsylvania': 1, 'Connecticut': 1, 'Tennessee': 1, 'California': 1, 'Iowa': 1, 'Rhode Island': 1, 'Ontario (Canada)': 1}","39","50","133","20","190","73","18","123"
"Peste Chocolate Chili Ale","Elysian Brewing Company","81","http://beeradvocate.com/beer/profile/700/80421/?sort=topr","Chile Beer","{'Wisconsin': 1, 'Colorado': 1, 'Pennsylvania': 5, 'Washington': 10, 'Virginia': 1, 'Oregon': 2, 'New Jersey': 1, 'New Hampshire': 1, 'Massachusetts': 1, 'Ohio': 1, 'Maryland': 1, 'Texas': 1, 'British Columbia (Canada)': 2}","30","56","121","17","115","62","6","121"
"Chipotle Ale","Rogue Ales","81","http://beeradvocate.com/beer/profile/132/354/?sort=topr","Chile Beer","{'Alberta (Canada)': 1, 'Minnesota': 1, 'Illinois': 5, 'Indiana': 1, 'Maryland': 3, 'Louisiana': 1, 'Texas': 5, 'Ontario (Canada)': 12, 'Manitoba (Canada)': 1, 'Australia': 1, 'Wisconsin': 2, 'Michigan': 1, 'Virginia': 1, 'Connecticut': 3, 'Montana': 1, 'California': 8, 'Massachusetts': 3, 'South Carolina': 1, 'New Hampshire': 2, 'Oklahoma': 1, 'Vermont': 1, 'Georgia': 3, 'Pennsylvania': 10, 'Quebec (Canada)': 1, 'Florida': 3, 'Hawaii': 1, 'Kentucky': 1, 'Nebraska': 2, 'District of Columbia': 1, 'Ohio': 4, 'New York': 4, 'Colorado': 1, 'New Jersey': 2, 'Washington': 2, 'North Carolina': 2, 'Tennessee': 2, 'Nevada': 1, 'Maine': 1, 'British Columbia (Canada)': 1}","100","319","149","76","300","231","157","298"
"5 Vulture","5 Rabbit Cerveceria","80","http://beeradvocate.com/beer/profile/25544/68712/?sort=topr","Chile Beer","{'Pennsylvania': 1, 'Virginia': 1, 'Illinois': 24, 'New York': 1, 'Ohio': 4, 'Maryland': 1}","32","77","104","32","153","68","27","60"
"Hot-Jala-Heim","Horseheads Brewing Inc.","87","http://beeradvocate.com/beer/profile/16261/40449/?sort=topr","Chile Beer","{'Georgia': 1, 'Colorado': 2, 'Pennsylvania': 8, 'Kentucky': 1, 'Delaware': 1, 'Washington': 1, 'Minnesota': 1, 'North Carolina': 2, 'Illinois': 1, 'New Jersey': 2, 'Connecticut': 1, 'New York': 11, 'California': 1, 'Massachusetts': 3, 'South Carolina': 1, 'New Hampshire': 1, 'Maryland': 1, 'Maine': 1, 'Ontario (Canada)': 1}","41","239","53","34","126","103","32","169"
