Name,Brewery,BeerAdvocate Rating,Light,Dark,Fruit,Sweet,Carbonation,Bitter,Spice,Difference Score
Dreadnaught IPA,Three Floyds Brewing Co. &amp; Brewpub,99.00,0.18,0.06,0.23,0.21,0.09,0.24,0.00,0.00
Alchemy Hour Double IPA,Great Lakes Brewing Company,95.00,0.17,0.07,0.23,0.21,0.10,0.21,0.01,0.07
Apocalypse Cow,Three Floyds Brewing Co. &amp; Brewpub,94.00,0.17,0.06,0.22,0.25,0.07,0.23,0.01,0.08
Union Jack India Pale Ale,Firestone Walker Brewing Co.,95.00,0.18,0.04,0.22,0.18,0.11,0.26,0.01,0.10
Hop Venom Double IPA,Boneyard Beer Company,99.00,0.15,0.08,0.26,0.21,0.08,0.22,0.00,0.11
Two Hearted Ale,"Bell's Brewery, Inc.",95.00,0.22,0.07,0.21,0.19,0.09,0.22,0.01,0.11
Founders Double Trouble,Founders Brewing Company,94.00,0.19,0.04,0.19,0.21,0.10,0.26,0.00,0.11
Racer X Double IPA,Bear Republic Brewing Co.,96.00,0.15,0.06,0.20,0.23,0.08,0.26,0.01,0.11
Ruination IPA,Stone Brewing Co.,96.00,0.19,0.07,0.24,0.15,0.09,0.26,0.01,0.12
Columbus IPA,Columbus Brewing Company,95.00,0.18,0.07,0.28,0.18,0.07,0.23,0.00,0.12
White Rajah,The Brew Kettle Taproom &amp; Smokehouse / Production Works,96.00,0.22,0.05,0.24,0.17,0.08,0.24,0.00,0.12
Double Jack,Firestone Walker Brewing Co.,97.00,0.18,0.05,0.27,0.16,0.11,0.23,0.00,0.13
The Oracle,"Bell's Brewery, Inc.",95.00,0.17,0.09,0.26,0.16,0.08,0.24,0.01,0.13
Masala Mama India Pale Ale,Minneapolis Town Hall Brewery,97.00,0.18,0.09,0.20,0.17,0.10,0.25,0.01,0.13
Pliny The Younger,Russian River Brewing Company,100.00,0.20,0.06,0.22,0.16,0.10,0.27,0.00,0.13
Bad Boy,Alpine Beer Company,100.00,0.23,0.07,0.23,0.15,0.09,0.23,0.00,0.14
Gandhi-Bot Double IPA,New England Brewing Co.,96.00,0.19,0.06,0.24,0.15,0.08,0.27,0.01,0.15
Myrcenary Double IPA,Odell Brewing Company,96.00,0.19,0.06,0.25,0.15,0.08,0.27,0.01,0.15
Red Racer IPA (India Pale Ale),Central City Brewing,95.00,0.17,0.05,0.18,0.20,0.08,0.31,0.01,0.15
Alpha King Pale Ale,Three Floyds Brewing Co. &amp; Brewpub,96.00,0.22,0.09,0.15,0.20,0.09,0.24,0.01,0.16
Just Outstanding IPA,Kern River Brewing Company,95.00,0.21,0.03,0.23,0.16,0.10,0.27,0.00,0.16
Maharaja,Avery Brewing Company,94.00,0.11,0.07,0.21,0.27,0.09,0.23,0.00,0.16
Ruination Tenth Anniversary IPA,Stone Brewing Co.,97.00,0.16,0.08,0.20,0.18,0.08,0.29,0.01,0.16
Furious,Surly Brewing Company,97.00,0.19,0.06,0.20,0.15,0.10,0.28,0.01,0.16
YuleSmith (Summer),AleSmith Brewing Company,94.00,0.21,0.06,0.19,0.16,0.09,0.25,0.02,0.17
Bell's Hopslam Ale,"Bell's Brewery, Inc.",100.00,0.19,0.05,0.23,0.14,0.09,0.31,0.00,0.17
Citra DIPA,Kern River Brewing Company,100.00,0.16,0.10,0.26,0.15,0.10,0.22,0.00,0.17
Society &amp; Solitude #6,Hill Farmstead Brewery,99.00,0.19,0.06,0.28,0.13,0.08,0.25,0.00,0.17
Winter Ale (2012) / 5th Anniversary Ale,Kern River Brewing Company,99.00,0.21,0.07,0.26,0.14,0.10,0.22,0.01,0.17
Hop Stoopid,Lagunitas Brewing Company,94.00,0.17,0.05,0.22,0.15,0.10,0.31,0.01,0.17
Enjoy By IPA,Stone Brewing Co.,98.00,0.22,0.07,0.22,0.13,0.10,0.25,0.01,0.17
Exponential Hoppiness,Alpine Beer Company,98.00,0.17,0.11,0.18,0.18,0.09,0.27,0.01,0.18
Fat Head's Head Hunter IPA,Fat Heads Brewery &amp; Saloon,98.00,0.19,0.07,0.25,0.12,0.09,0.28,0.01,0.19
IPA (India Pale Ale),Stone Brewing Co.,95.00,0.18,0.05,0.26,0.13,0.08,0.29,0.00,0.19
Wet,Surly Brewing Company,98.00,0.23,0.08,0.19,0.15,0.09,0.26,0.01,0.20
Zombie Dust,Three Floyds Brewing Co. &amp; Brewpub,100.00,0.26,0.04,0.24,0.14,0.08,0.24,0.01,0.20
Abrasive Ale,Surly Brewing Company,100.00,0.18,0.06,0.26,0.11,0.11,0.27,0.00,0.20
Duet IPA,Alpine Beer Company,98.00,0.23,0.05,0.28,0.16,0.08,0.21,0.00,0.21
Broo Doo,Three Floyds Brewing Co. &amp; Brewpub,95.00,0.17,0.08,0.18,0.16,0.10,0.30,0.00,0.21
TrÌ¦egs Nugget Nectar,TrÌ¦egs Brewing Company,97.00,0.15,0.06,0.14,0.24,0.12,0.28,0.01,0.22
Knuckle Sandwich,Bootlegger's Brewery,96.00,0.11,0.09,0.19,0.23,0.08,0.28,0.01,0.22
Odell IPA,Odell Brewing Company,95.00,0.27,0.05,0.25,0.13,0.09,0.21,0.00,0.23
