Name,Brewery,Rating,Link,Style,Light,Dark,Fruit,Sweet,Carbonation,Bitter,Spice
Page 24 BiÌ¬re De NoÌÇl,Brasserie Saint-Germain,86,http://beeradvocate.com/beer/profile/11872/54368/?sort=topr,BiÌ¬re de Garde,-0.193641089,-0.073594036,0.417787873,-0.146058026,0.133048683,-0.381567188,3.176845194
Jever Dark,Friesisches Brauhaus zu Jever GmbH &amp; Co KG,86,http://beeradvocate.com/beer/profile/737/6849/?sort=topr,Munich Dunkel Lager,-0.291977542,0.745918931,-0.601247161,0.088776017,-0.138883001,0.374295139,-0.818398035
Standing Stone Double IPA,Standing Stone Brewing Company,87,http://beeradvocate.com/beer/profile/2890/22990/?sort=topr,American Double / Imperial IPA,-0.193641089,-0.216118031,0.063340905,-0.060663829,-0.456136632,1.095800087,-0.818398035
Patriot,Croucher Brewing Co.,88,http://beeradvocate.com/beer/profile/16465/69269/?sort=topr,American Black Ale,-0.390313994,0.140191955,0.196258518,-0.210103674,-0.365492737,1.130157465,-0.63679607
Jackalope IPA,Chama River Brewing Company,88,http://beeradvocate.com/beer/profile/2435/20834/?sort=topr,American IPA,0.396377626,-0.572428017,0.107646776,-0.573029013,-0.229526895,0.992727951,-0.63679607
Bourbon Barrel Aged Imperial Chocolate Rye Porter (X-1),DuClaw Brewing Company,88,http://beeradvocate.com/beer/profile/1924/81686/?sort=topr,American Porter,-0.449315866,1.03096692,-0.822776516,0.771929596,0.087726736,-0.725140972,-0.818398035
An Dreoilin,Mystic Brewery,89,http://beeradvocate.com/beer/profile/24803/76966/?sort=topr,Saison / Farmhouse Ale,0.16037014,-0.608059015,0.506399615,-0.039315279,0.042404789,-0.347209809,1.542427509
St. Idesbald Blond,Brouwerij Huyghe,78,http://beeradvocate.com/beer/profile/180/10234/?sort=topr,Belgian Pale Ale,0.644032731,-0.361755413,0.454996202,-0.490122025,-0.097961242,-0.316188098,0.265042814
Alexander Keith's Tartan Ale,Alexander Keith's,78,http://beeradvocate.com/beer/profile/6994/67234/?sort=topr,Scottish Ale,-0.060552725,-0.397213446,-0.11818412,0.487144093,0.353058137,-0.281997503,-1
Rocky Mountain IPA,Rocky Mountain Brewing,79,http://beeradvocate.com/beer/profile/19634/50214/?sort=topr,American IPA,-0.33455818,-0.113549185,0.014088262,-0.235183038,0.127548447,1.15400749,-1
Elsa Von Horizon,New Albanian Brewing Company Pizzeria and Public House,80,http://beeradvocate.com/beer/profile/2504/65617/?sort=topr,American Double / Imperial Pilsner,0.291740003,-0.255381316,-0.735455236,-0.107713544,-0.278368994,0.675339159,0.084322412
Little Dog,Hair of the Dog Brewing Company / Brewery and Tasting Room,81,http://beeradvocate.com/beer/profile/173/61950/?sort=topr,English Bitter,0.487458185,-0.787251804,0.10226985,-0.46887711,0.307956199,0.470195588,-0.638559196
Murray's Heart Of Darkness Oak Aged,Murray's Craft Brewing Co.,82,http://beeradvocate.com/beer/profile/12897/72102/?sort=topr,American Double / Imperial Stout,-0.66727909,1.517520314,-0.33863809,0.274694937,0.037344571,-0.384569289,-0.638559196
Porter,Snipes Mountain Microbrewery &amp; Restaurant,82,http://beeradvocate.com/beer/profile/1396/3727/?sort=topr,American Porter,-0.295414544,1.092023923,-0.77954603,0.317184768,-0.188165118,-0.111044528,-1
Cornish IPA,St. Austell Brewery,82,http://beeradvocate.com/beer/profile/6984/44642/?sort=topr,English India Pale Ale (IPA),0.350455457,-0.716335739,0.278633026,-0.511366941,-0.188165118,1.01724511,-1
Wasatch Summer Twilight,Utah Brewers Cooperative,82,http://beeradvocate.com/beer/profile/28908/49249/?sort=topr,KÌ_lsch,0.859322731,-0.929083935,0.146360644,-0.277672869,-0.233267056,-0.042663338,-0.277118392
Octoberfest,BJ's Restaurant &amp; Brewhouse,82,http://beeradvocate.com/beer/profile/3042/13859/?sort=topr,MÌ_rzen / Oktoberfest,-0.217127271,-0.680877707,-0.33863809,0.784572912,-0.323470932,0.367623803,-0.457838794
Henry Ford's Girthsome Fjord,Moon Dog Craft Brewery,83,http://beeradvocate.com/beer/profile/24701/76062/?sort=topr,Belgian IPA,-0.588991817,0.453779336,0.058179056,-0.192693207,0.262854261,0.777910944,-0.638559196
Sommer Vice,Steel Toe Brewing,83,http://beeradvocate.com/beer/profile/26565/82120/?sort=topr,Hefeweizen,0.272168185,-0.539045576,0.587268583,-0.745061013,0.668771702,-0.726475239,5.325214071
"Monkey King Saison, Farmhouse Ale",New Holland Brewing Company,84,http://beeradvocate.com/beer/profile/335/90819/?sort=topr,Saison / Farmhouse Ale,0.370027276,0.134657043,0.719540965,-0.617591519,-0.36857287,-0.418759884,1.891526432
Franklin Land Trust Preservation Ale,Berkshire Brewing Company Inc.,84,http://beeradvocate.com/beer/profile/33/71863/?sort=topr,English India Pale Ale (IPA),0.135165457,0.09919901,-0.470910472,-0.022733882,-0.323470932,0.470195588,-0.819279598
Oktoberfest MÌ_rzen,Cigar City Brewing,84,http://beeradvocate.com/beer/profile/17981/73066/?sort=topr,MÌ_rzen / Oktoberfest,-0.177983635,0.24103114,-0.33863809,0.21096019,-0.233267056,0.025717852,0.80720402
Essence,Hangar 24 Brewery,85,http://beeradvocate.com/beer/profile/16843/81975/?sort=topr,American Double / Imperial IPA,-0.412845453,-0.751793772,3.100443841,-0.405142363,-0.36857287,0.162480233,-1
Bear Paw Porter,Grizzly Peak Brewing Company,85,http://beeradvocate.com/beer/profile/1106/5162/?sort=topr,American Porter,-0.569419999,0.701985564,-0.515001266,0.657103418,0.037344571,-0.179425718,-1
Helltown Devious Ale,Helltown Brewing,85,http://beeradvocate.com/beer/profile/26528/74686/?sort=topr,Belgian Strong Pale Ale,0.193880912,-0.645419674,0.675450171,-0.192693207,-0.188165118,0.025717852,0.987924422
Oak Aged Cherry Quad,Iron Hill Brewery &amp; Restaurant,85,http://beeradvocate.com/beer/profile/6045/54703/?sort=topr,Quadrupel (Quad),-0.393273635,1.19839802,0.763631759,-0.298917785,0.127548447,-0.726475239,0.265042814
Jenny's Scottish Ale,Skagit River Brewery,85,http://beeradvocate.com/beer/profile/1394/24958/?sort=topr,Scottish Ale,-0.471560908,0.24103114,-0.162274914,0.444654262,-0.097961242,0.162480233,-0.457838794
Demon,Brewery Lobkowicz,85,http://beeradvocate.com/beer/profile/167/14426/?sort=topr,Vienna Lager,-0.217127271,-0.361755413,-0.470910472,0.423409346,0.262854261,0.299242613,-0.457838794
