Name,Brewery,Rating,Link,Style,Light,Dark,Fruit,Sweet,Carbonation,Bitter,Spice
Budweiser Select 55,Anheuser-Busch,44,http://beeradvocate.com/beer/profile/29/52480/?sort=topr,Light Lager,1.680881574,-0.810276501,-0.858451373,-0.62487549,0.472080393,-0.670704606,-0.90330285
Bud Light &amp; Clamato Chelada,Anheuser-Busch,45,http://beeradvocate.com/beer/profile/29/37424/?sort=topr,Fruit / Vegetable Beer,0.657742939,-0.517986745,0.521468109,-0.777845045,1.593933788,-0.892742194,-0.622046672
Natural Light,Anheuser-Busch,45,http://beeradvocate.com/beer/profile/29/1524/?sort=topr,Light Lager,1.471753445,-0.9265894,-0.726149641,-0.472186619,0.423997365,-0.48679745,-1
Evil Eye,Melanie Brewing Company,46,http://beeradvocate.com/beer/profile/1422/20705/?sort=topr,American Malt Liquor,0.554155443,-0.428709687,0.268534017,-0.193167953,0.427388146,-0.626195561,-0.792020096
Keystone Ice,Coors Brewing Company,46,http://beeradvocate.com/beer/profile/306/2947/?sort=topr,American Adjunct Lager,0.989716793,-0.848221201,-0.811268497,-0.06787243,0.858199841,-0.652410418,-0.90330285
Natural Ice,Anheuser-Busch,46,http://beeradvocate.com/beer/profile/29/653/?sort=topr,American Adjunct Lager,1.13807287,-0.760210578,-0.701830439,-0.414262655,0.736196821,-0.413061451,-1
Michelob Ultra,Anheuser-Busch,46,http://beeradvocate.com/beer/profile/29/3734/?sort=topr,Light Lager,1.454564411,-0.82140942,-0.755721909,-0.507782835,0.385699148,-0.448937891,-1
Busch Ice,Anheuser-Busch,47,http://beeradvocate.com/beer/profile/29/3474/?sort=topr,American Adjunct Lager,1.036679723,-0.799192998,-0.563031444,-0.383386401,0.78795861,-0.394908713,-1
Keystone Light,Coors Brewing Company,47,http://beeradvocate.com/beer/profile/306/1341/?sort=topr,Light Lager,1.34249516,-0.857177422,-0.746293197,-0.511010881,0.531198193,-0.350760711,-0.896010048
Bud Light,Anheuser-Busch,47,http://beeradvocate.com/beer/profile/29/1320/?sort=topr,Light Lager,1.391197302,-0.902867624,-0.710126482,-0.546059436,0.581446673,-0.381841316,-1
Milwaukee's Best Light,Miller Brewing Co.,47,http://beeradvocate.com/beer/profile/105/2768/?sort=topr,Light Lager,1.367879341,-0.903381551,-0.879858419,-0.467415819,0.302706238,-0.124250419,-1
Busch Light,Anheuser-Busch,47,http://beeradvocate.com/beer/profile/29/1390/?sort=topr,Light Lager,1.385302537,-0.808786526,-0.762232891,-0.54173271,0.362031297,-0.262485593,-1
Corona Light,Grupo Modelo S.A. de C.V.,47,http://beeradvocate.com/beer/profile/75/233/?sort=topr,Light Lager,1.286689449,-0.89097978,-0.706280731,-0.542758682,0.502275991,-0.159013423,-1
Sharp's,Miller Brewing Co.,48,http://beeradvocate.com/beer/profile/105/5747/?sort=topr,Low Alcohol Beer,1.338789915,-0.90513825,-0.921361874,-0.602140671,0.850155686,-0.237742144,-1
Milwaukee's Best Premium,Miller Brewing Co.,48,http://beeradvocate.com/beer/profile/105/1286/?sort=topr,American Adjunct Lager,1.136506516,-0.895949363,-0.715356868,-0.426447805,0.455854576,-0.036818792,-1
Bud Ice,Anheuser-Busch,48,http://beeradvocate.com/beer/profile/29/1642/?sort=topr,American Adjunct Lager,1.099027062,-0.736440809,-0.789318732,-0.255551875,0.5804277,-0.437265103,-1
Miller 64,Miller Brewing Co.,48,http://beeradvocate.com/beer/profile/105/43043/?sort=topr,Light Lager,1.564754805,-0.944241567,-0.81511036,-0.565695542,0.513038038,-0.480268155,-1
Miller Chill,Miller Brewing Co.,49,http://beeradvocate.com/beer/profile/105/35735/?sort=topr,Light Lager,1.173768751,-0.933996795,-0.726424592,-0.314531518,1.01491549,-0.660565658,-1
Sleeman Clear,Sleeman Breweries Ltd.,50,http://beeradvocate.com/beer/profile/415/12699/?sort=topr,Light Lager,1.584843895,-0.796394294,-0.873411797,-0.847510362,0.715759435,-0.337393415,-0.870284311
Keystone Premium,Coors Brewing Company,50,http://beeradvocate.com/beer/profile/306/1859/?sort=topr,American Adjunct Lager,1.302024633,-0.858625393,-0.853504781,-0.449414026,0.73831598,-0.431994953,-1
Busch Beer,Anheuser-Busch,50,http://beeradvocate.com/beer/profile/29/670/?sort=topr,American Adjunct Lager,1.267118518,-0.866789884,-0.475466968,-0.401397059,0.299045481,-0.400573397,-1
Coors Light,Coors Brewing Company,50,http://beeradvocate.com/beer/profile/306/837/?sort=topr,Light Lager,1.489016026,-0.90683221,-0.860979027,-0.575752042,0.588002415,-0.389104776,-1
Carlton Cold,"Carlton &amp; United Breweries, Ltd.",51,http://beeradvocate.com/beer/profile/353/2856/?sort=topr,American Adjunct Lager,1.349818912,-0.820752032,-0.442778923,-0.677807169,0.424999878,-0.265426601,-1
Rock Green Light,Latrobe Brewing Co.,51,http://beeradvocate.com/beer/profile/174/13770/?sort=topr,Light Lager,1.414388599,-0.872598464,-0.947193584,-0.491110161,0.836592866,-0.549558788,-1
Olde English 800,Miller Brewing Co.,51,http://beeradvocate.com/beer/profile/105/3350/?sort=topr,American Malt Liquor,1.195430113,-0.646863258,-0.838221565,-0.097983048,0.182060967,-0.605720669,-1
Miller Genuine Draft Light 64 Lemonade,Miller Brewing Co.,51,http://beeradvocate.com/beer/profile/105/68248/?sort=topr,Light Lager,0.482847516,-0.806856005,1.27067589,-0.12681354,0.161374901,-0.796828964,-0.910508647
Budweiser Select,Anheuser-Busch,51,http://beeradvocate.com/beer/profile/29/20732/?sort=topr,Light Lager,1.398304021,-0.76051296,-0.787290315,-0.518282733,0.327285601,-0.340209594,-0.912814045
Pit Bull,"City Brewing Company, LLC",52,http://beeradvocate.com/beer/profile/782/32690/?sort=topr,American Malt Liquor,0.266183414,-0.034134914,0.276082318,0.229747016,-0.155363709,-0.767164873,-0.692327249
Budweiser &amp; Clamato Chelada,Anheuser-Busch,52,http://beeradvocate.com/beer/profile/29/37389/?sort=topr,Fruit / Vegetable Beer,0.384048877,-0.236858463,0.536377717,-0.847586227,1.588537092,-0.85983557,0.852159344
Camo High Gravity Lager,Camo Brewing Company,52,http://beeradvocate.com/beer/profile/881/2789/?sort=topr,American Malt Liquor,0.58658582,-0.492753145,-0.411306251,-0.067977684,0.548499867,-0.347846057,-1
